NO,NO,TRAIN,NAME,FROM,DEP,TO,ARR
12926,12926,12926,PASCHIM EXPRESS ,AMRITSAR JN    ,08:10,BANDRA TERMINUS,14:45
12927,12927,12927,VADODARA EXP    ,MUMBAI CENTRAL ,23:40,VADODARA JN    ,05:55
12928,12928,12928,VADODARA EXP    ,VADODARA JN    ,22:30,MUMBAI CENTRAL ,04:50
12931,12931,12931,ADI DOUBLE DECKR,MUMBAI CENTRAL ,14:20,AHMEDABAD JN   ,21:40
12932,12932,12932,BCT DOUBLEDECKER,AHMEDABAD JN   ,06:00,MUMBAI CENTRAL ,13:00
12933,12933,12933,KARNAVATI EXP   ,MUMBAI CENTRAL ,13:40,AHMEDABAD JN   ,21:25
12934,12934,12934,KARNAVATI EXP   ,AHMEDABAD JN   ,04:55,MUMBAI CENTRAL ,12:35
12935,12935,12935,BDTS SURAT EXP  ,BANDRA TERMINUS,06:50,SURAT          ,11:10
12936,12936,12936,SURAT BDTS EXP  ,SURAT          ,16:05,BANDRA TERMINUS,20:25
12937,12937,12937,GARBHA EXPRESS  ,GANDHIDHAM BG  ,17:00,HOWRAH JN      ,13:05
12938,12938,12938,GARBHA EXPRESS  ,HOWRAH JN      ,23:00,GANDHIDHAM BG  ,16:45
12939,12939,12939,PUNE JAIPUR EXP ,PUNE JN        ,15:20,JAIPUR         ,13:40
12940,12940,12940,JP PUNE SF EXP  ,JAIPUR         ,09:15,PUNE JN        ,08:05
12941,12941,12941,BVC ASANSOL EXP ,BHAVNAGAR TRMUS,17:30,ASANSOL JN     ,10:20
12942,12942,12942,PARASNATH EXP   ,ASANSOL JN     ,19:50,BHAVNAGAR TRMUS,11:35
12943,12943,12943,UDYOGKARMI EXP  ,VALSAD         ,19:40,KANPUR CENTRAL ,19:10
12944,12944,12944,UDHYOGKARMI EXP ,KANPUR CENTRAL ,08:00,VALSAD         ,07:35
12945,12945,12945,MAHUVA EXPRESS  ,SURAT          ,05:30,MAHUVA JN      ,17:06
12946,12946,12946,SURAT EXPRESS   ,MAHUVA JN      ,19:20,SURAT          ,07:15
12947,12947,12947,AZIMABAD EXPRESS,AHMEDABAD JN   ,21:30,PATNA JN       ,04:30
12948,12948,12948,AZIMABAD EXPRESS,PATNA JN       ,23:30,AHMEDABAD JN   ,05:35
12949,12949,12949,KAVIGURU EXPRESS,PORBANDAR      ,07:55,SANTRAGACHI JN ,08:05
12950,12950,12950,PBR KAVIGURU EXP,SANTRAGACHI JN ,21:25,PORBANDAR      ,20:35
12955,12955,12955,BCT JP EXPRESS  ,MUMBAI CENTRAL ,18:50,JAIPUR         ,12:50
12956,12956,12956,JP BCT SUPFAST  ,JAIPUR         ,14:10,MUMBAI CENTRAL ,07:40
12959,12959,12959,DADAR BHUJ EXP  ,DADAR          ,00:05,BHUJ           ,17:50
12960,12960,12960,BHUJ DADAR EXP  ,BHUJ           ,18:30,DADAR          ,12:00
12961,12961,12961,AVANTIKA EXP    ,MUMBAI CENTRAL ,19:05,INDORE JN BG   ,09:00
12962,12962,12962,AVANTIKA EXP    ,INDORE JN BG   ,16:25,MUMBAI CENTRAL ,06:10
12963,12963,12963,MEWAR EXPRESS   ,H NIZAMUDDIN   ,19:00,UDAIPUR CITY   ,07:20
12964,12964,12964,MEWAR EXPRESS   ,UDAIPUR CITY   ,18:15,H NIZAMUDDIN   ,06:30
12967,12967,12967,JAIPUR EXP      ,CHENNAI CENTRAL,17:40,JAIPUR         ,06:15
12968,12968,12968,JP MADRAS EXPRE ,JAIPUR         ,19:35,CHENNAI CENTRAL,09:45
12969,12969,12969,CBE JAIPUR EXP  ,COIMBATORE JN  ,09:20,JAIPUR         ,06:15
12970,12970,12970,JP CBE SUP EXP  ,JAIPUR         ,19:35,COIMBATORE JN  ,18:00
12971,12971,12971,BHAVNAGAR EXP   ,BANDRA TERMINUS,21:30,BHAVNAGAR TRMUS,11:05
12972,12972,12972,BVC BDTS EXPRES ,BHAVNAGAR TRMUS,20:30,BANDRA TERMINUS,10:20
12973,12973,12973,JAIPUR EXPRESS  ,INDORE JN BG   ,22:25,JAIPUR         ,08:20
12974,12974,12974,JP INDB EXPRESS ,JAIPUR         ,21:05,INDORE JN BG   ,07:25
12975,12975,12975,JAIPUR EXPRESS  ,MYSORE JN      ,10:15,JAIPUR         ,06:15
12976,12976,12976,JP MYSORE EXP   ,JAIPUR         ,19:35,MYSORE JN      ,16:20
12977,12977,12977,MARU SAGAR EXP  ,ERNAKULAM JN   ,20:05,AJMER JN       ,17:10
12978,12978,12978,MARU SAGAR EXP  ,AJMER JN       ,07:40,ERNAKULAM JN   ,04:10
12979,12979,12979,JAIPUR SUP FAST ,BANDRA TERMINUS,15:45,JAIPUR         ,10:45
12980,12980,12980,JP BDTS SUP EXP ,JAIPUR         ,20:25,BANDRA TERMINUS,14:20
12981,12981,12981,CHETAK EXP      ,DELHI S ROHILLA,19:40,UDAIPUR CITY   ,07:50
12982,12982,12982,CHETAK EXP      ,UDAIPUR CITY   ,17:15,DELHI S ROHILLA,05:10
12985,12985,12985,DEE DOUBLE DCKER,JAIPUR         ,06:00,DELHI S ROHILLA,10:30
12986,12986,12986,JP DOUBLE DCKER ,DELHI S ROHILLA,17:35,JAIPUR         ,22:05
12987,12987,12987,SDAH AJMER EXP  ,SEALDAH        ,23:05,AJMER JN       ,02:45
12988,12988,12988,AII SDAH EXPRES ,AJMER JN       ,12:50,SEALDAH        ,15:55
12989,12989,12989,AJMER EXPRESS   ,DADAR          ,14:35,AJMER JN       ,08:05
12990,12990,12990,AII DDR  EXPRESS,AJMER JN       ,19:20,DADAR          ,12:40
12991,12991,12991,UDZ JP EXP      ,UDAIPUR CITY   ,06:00,JAIPUR         ,13:30
12992,12992,12992,JP UDZ EXP      ,JAIPUR         ,14:00,UDAIPUR CITY   ,21:30
12993,12993,12993,GIMB PURI EXP   ,GANDHIDHAM BG  ,22:45,PURI           ,16:15
12994,12994,12994,PURI GIMB  EXP  ,PURI           ,19:45,GANDHIDHAM BG  ,13:20
12995,12995,12995,BDTS AII UDZ EX ,BANDRA TERMINUS,15:45,UDAIPUR CITY   ,08:55
12996,12996,12996,UDZ BDTS SF EXP ,UDAIPUR CITY   ,21:35,BANDRA TERMINUS,14:20
13005,13005,13005,AMRITSAR MAIL   ,HOWRAH JN      ,19:10,AMRITSAR JN    ,08:55
13006,13006,13006,ASR HWH MAIL    ,AMRITSAR JN    ,18:45,HOWRAH JN      ,07:20
13007,13007,13007,U ABHATOOFAN EXP,HOWRAH JN      ,09:35,SHRI GANGANAGAR,07:00
13008,13008,13008,U A TOOFAN EXP  ,SHRI GANGANAGAR,21:00,HOWRAH JN      ,19:20
13009,13009,13009,DOON EXPRESS    ,HOWRAH JN      ,20:30,DEHRADUN       ,07:25
13010,13010,13010,DOON EXPRESS    ,DEHRADUN       ,20:25,HOWRAH JN      ,06:55
13011,13011,13011,HWH MLDT INT EX ,HOWRAH JN      ,15:25,MALDA TOWN     ,22:50
13012,13012,13012,MLDT HWH INT EXP,MALDA TOWN     ,04:30,HOWRAH JN      ,11:25
13017,13017,13017,GANADEVTA EXP   ,HOWRAH JN      ,06:05,AZIMGANJ JN    ,12:05
13018,13018,13018,GANADEVTA EXP   ,AZIMGANJ JN    ,15:40,HOWRAH JN      ,21:45
13019,13019,13019,BAGH EXPRESS    ,HOWRAH JN      ,21:45,KATHGODAM      ,09:30
13020,13020,13020,BAGH EXPRESS    ,KATHGODAM      ,21:55,HOWRAH JN      ,12:40
13021,13021,13021,MITHILA EXPRESS ,HOWRAH JN      ,15:45,RAXAUL JN      ,08:30
13022,13022,13022,MITHILA EXPRESS ,RAXAUL JN      ,10:00,HOWRAH JN      ,04:00
13023,13023,13023,HWH GAYA EXPRESS,HOWRAH JN      ,19:50,GAYA JN        ,10:40
13024,13024,13024,GAYA HWH EXPRESS,GAYA JN        ,12:20,HOWRAH JN      ,03:40
13025,13025,13025,HWH BPL EXPRESS ,HOWRAH JN      ,13:25,BHOPAL  JN     ,18:30
13026,13026,13026,BPL HOWRAH EXP  ,BHOPAL  JN     ,07:35,HOWRAH JN      ,15:00
13027,13027,13027,KAVI GURU EXP   ,HOWRAH JN      ,22:40,AZIMGANJ JN    ,04:20
13028,13028,13028,KAVI GURU EXP   ,AZIMGANJ JN    ,07:50,HOWRAH JN      ,13:55
13043,13043,13043,HWH RXL EXPRESS ,HOWRAH JN      ,22:50,RAXAUL JN      ,16:05
13044,13044,13044,RXL HWH EXPRESS ,RAXAUL JN      ,19:45,HOWRAH JN      ,12:15
13049,13049,13049,AMRITSAR EXP    ,HOWRAH JN      ,13:50,AMRITSAR JN    ,10:10
13050,13050,13050,ASR HWH EXPRESS ,AMRITSAR JN    ,18:10,HOWRAH JN      ,15:45
13051,13051,13051,HOOL EXPRESS    ,HOWRAH JN      ,06:45,SIURI          ,11:40
13052,13052,13052,HOOL EXPRESS    ,SIURI          ,13:30,HOWRAH JN      ,18:25
13053,13053,13053,HWH SURI EXP    ,HOWRAH JN      ,08:35,SIURI          ,13:40
13054,13054,13054,SURI HWH EXP    ,SIURI          ,17:30,HOWRAH JN      ,22:40
13071,13071,13071,HWH JMP EXPRESS ,HOWRAH JN      ,21:35,JAMALPUR JN    ,07:10
13072,13072,13072,JMP HWH EXP     ,JAMALPUR JN    ,19:30,HOWRAH JN      ,05:30
13103,13103,13103,BHAGIRATHI EXP  ,SEALDAH        ,18:20,LALGOLA        ,22:55
13104,13104,13104,BHAGIRATHI EXP  ,LALGOLA        ,05:40,SEALDAH        ,10:25
13105,13105,13105,SDAH BUI EXPRES ,SEALDAH        ,13:20,BALLIA         ,06:10
13106,13106,13106,BUI SDAH EXP    ,BALLIA         ,09:00,SEALDAH        ,03:35
13111,13111,13111,LAL QUILA EXP   ,KOLKATA        ,20:15,DELHI          ,03:10
13112,13112,13112,LAL QUILA EXP   ,DELHI          ,20:50,KOLKATA        ,07:30
13113,13113,13113,HAZARDUARI EXP  ,KOLKATA        ,06:50,LALGOLA        ,12:10
13114,13114,13114,HAZARDUARI EXP  ,LALGOLA        ,15:45,KOLKATA        ,21:25
13117,13117,13117,KOAA BPC EXPRESS,KOLKATA        ,16:10,LALGOLA        ,21:05
13118,13118,13118,BPC KOAA EXPRESS,LALGOLA        ,06:25,KOLKATA        ,11:35
13131,13131,13131,KOAA ANVT EXP   ,KOLKATA        ,19:50,ANAND VIHAR TRM,11:40
13132,13132,13132,ANVT KOAA EXP   ,ANAND VIHAR TRM,15:30,KOLKATA        ,07:30
13133,13133,13133,SDAH BSB EXP    ,SEALDAH        ,21:15,VARANASI JN    ,21:40
13134,13134,13134,BSB SDAH EXPRESS,VARANASI JN    ,08:40,SEALDAH        ,10:55
13135,13135,13135,KOAA JYG EXP    ,KOLKATA        ,20:55,JAYNAGAR       ,11:00
13136,13136,13136,JYG KOAA EXP    ,JAYNAGAR       ,12:40,KOLKATA        ,03:45
13137,13137,13137,BP AMH EXPRESS  ,KOLKATA        ,11:25,AZAMGARH       ,06:10
13138,13138,13138,AMH KOAA EXP    ,AZAMGARH       ,08:00,KOLKATA        ,03:45
13141,13141,13141,TESTA TORSA EXP ,SEALDAH        ,13:40,NEW ALIPURDUAR ,07:15
13142,13142,13142,TESTA TORSA EXP ,NEW ALIPURDUAR ,11:45,SEALDAH        ,04:35
13145,13145,13145,RADHIKAPUR EXP  ,KOLKATA        ,19:30,RADHIKAPUR     ,06:50
13146,13146,13146,RADHIKAPUR EXP  ,RADHIKAPUR     ,17:50,KOLKATA        ,05:35
13147,13147,13147,UTTAR BANGA EXP ,SEALDAH        ,19:35,NEW COOCH BEHAR,09:25
13148,13148,13148,UTTAR BANGA EXP ,NEW COOCH BEHAR,15:15,SEALDAH        ,05:10
13149,13149,13149,KANCHANKANYA EXP,SEALDAH        ,20:30,ALIPUR DUAR JN ,12:10
13150,13150,13150,KANCHANKANYA EX ,ALIPUR DUAR JN ,16:45,SEALDAH        ,08:15
13151,13151,13151,JAMMU TAWI EXP  ,KOLKATA        ,11:45,JAMMU TAWI     ,08:30
13152,13152,13152,SEALDAH EXPRESS ,JAMMU TAWI     ,18:55,KOLKATA        ,15:50
13153,13153,13153,GOUR EXPRESS    ,SEALDAH        ,22:15,MALDA TOWN     ,06:15
13154,13154,13154,GOUR EXP        ,MALDA TOWN     ,21:35,SEALDAH        ,05:20
13155,13155,13155,MITHILANCHAL EXP,KOLKATA        ,20:55,SITAMARHI      ,11:00
13156,13156,13156,MITHILANCHAL EX ,SITAMARHI      ,11:55,KOLKATA        ,03:45
13157,13157,13157,TIRHUT EXPRESS  ,KOLKATA        ,20:55,MUZAFFARPUR JN ,09:15
13158,13158,13158,TIRHUT EXPRESS  ,MUZAFFARPUR JN ,14:50,KOLKATA        ,03:45
13159,13159,13159,KOLKATA JBN EXP ,KOLKATA        ,20:55,JOGBANI        ,11:15
13160,13160,13160,JBN KOLKATA EXP ,JOGBANI        ,14:35,KOLKATA        ,03:20
13161,13161,13161,KOAA BLGT EXP   ,KOLKATA        ,12:55,BALURGHAT      ,22:15
13162,13162,13162,BLGT KOAA EXP   ,BALURGHAT      ,05:35,KOLKATA        ,14:25
13163,13163,13163,HATE BAZARE EXP ,SEALDAH        ,20:10,SAHARSA JN     ,12:15
13164,13164,13164,HATE BAZARE EXP ,SAHARSA JN     ,14:20,SEALDAH        ,07:15
13165,13165,13165,KOAA SMI EXPRESS,KOLKATA        ,22:45,SITAMARHI      ,13:30
13166,13166,13166,SMI KOAA EXP    ,SITAMARHI      ,21:40,KOLKATA        ,12:25
13167,13167,13167,KOAA AGC EXPRESS,KOLKATA        ,12:20,AGRA CANTT     ,16:50
13168,13168,13168,AGC KOAA EXP    ,AGRA CANTT     ,04:40,KOLKATA        ,08:45
13185,13185,13185,GANGASAGAR EXP  ,SEALDAH        ,17:55,JAYNAGAR       ,08:55
13186,13186,13186,GANGA SAGAR EXP ,JAYNAGAR       ,16:05,SEALDAH        ,06:55
13187,13187,13187,SDAH RPH EXP    ,SEALDAH        ,07:25,RAMPUR HAT     ,12:15
13188,13188,13188,RPH SDAH EXP    ,RAMPUR HAT     ,14:05,SEALDAH        ,18:45
13201,13201,13201,RJPB LTT EXP    ,RAJENDRANAGAR T,23:30,LOKMANYATILAK T,11:30
13202,13202,13202,LTT RJPB EXP    ,LOKMANYATILAK T,22:15,RAJENDRANAGAR T,09:55
13225,13225,13225,INTERCITY EXPRES,JAYNAGAR       ,11:05,DANAPUR        ,20:40
13226,13226,13226,INTERCITY EXPRES,DANAPUR        ,06:45,JAYNAGAR       ,15:00
13233,13233,13233,RAJGRIHA EXPRESS,RAJGIR         ,14:40,DANAPUR        ,18:05
13234,13234,13234,RAJGRIHA EXPRESS,DANAPUR        ,08:45,RAJGIR         ,12:30
13235,13235,13235,INTERCITY EXP   ,SAHIBGANJ JN   ,14:25,DANAPUR        ,23:35
13236,13236,13236,INTERCITY EXP   ,DANAPUR        ,05:05,SAHIBGANJ JN   ,13:05
13237,13237,13237,PNBE KOTA EXP   ,PATNA JN       ,11:50,KOTA JN        ,12:55
13238,13238,13238,KOTA PNBE EXP   ,KOTA JN        ,15:25,PATNA JN       ,17:20
13239,13239,13239,PNBE KOTA EXP   ,PATNA JN       ,11:50,KOTA JN        ,12:55
13240,13240,13240,KOTA PNBE EXP   ,KOTA JN        ,15:25,PATNA JN       ,17:20
13241,13241,13241,BANKA RJPB EXP  ,BANKA          ,07:30,RAJENDRANAGAR T,15:00
13242,13242,13242,RJPB BANKA EXP  ,RAJENDRANAGAR T,23:25,BANKA          ,06:50
13245,13245,13245,CAPITAL EXPRESS ,NEW JALPAIGURI ,14:40,DANAPUR        ,04:58
13246,13246,13246,CAPITAL EXP     ,DANAPUR        ,22:25,NEW JALPAIGURI ,12:20
13247,13247,13247,DNR CAPITAL EXP ,KAMAKHYA       ,05:00,DANAPUR        ,04:58
13248,13248,13248,KYQ CAPITAL EXP ,DANAPUR        ,22:25,KAMAKHYA       ,21:10
13251,13251,13251,IPR RJPB EXPRESS,ISLAMPUR       ,10:45,RAJENDRANAGAR T,13:15
13252,13252,13252,RJPB IPR EXPRESS,RAJENDRANAGAR T,08:00,ISLAMPUR       ,10:15
13255,13255,13255,PPTA CDG EXP    ,PATLIPUTRA     ,20:30,CHANDIGARH     ,17:55
13256,13256,13256,CDG  PPTA EXP   ,CHANDIGARH     ,21:30,PATLIPUTRA     ,20:45
13281,13281,13281,NTSK  RJPB  EXP ,NEW TINSUKIA JN,07:30,RAJENDRANAGAR T,14:00
13282,13282,13282,RJPB NTSK EXP   ,RAJENDRANAGAR T,15:10,NEW TINSUKIA JN,20:10
13287,13287,13287,SOUTH BIHAR EXP ,DURG           ,07:25,DANAPUR        ,07:55
13288,13288,13288,SOUTH BIHAR EXP ,DANAPUR        ,19:50,DURG           ,20:40
13301,13301,13301,SUBARNAREKHA EXP,DHANBAD JN     ,05:35,TATANAGAR JN   ,11:15
13302,13302,13302,SUBARNAREKHA EXP,TATANAGAR JN   ,13:20,DHANBAD JN     ,18:45
13307,13307,13307,GANGASUTLEJ EXP ,DHANBAD JN     ,21:20,FIROZPUR CANT  ,10:15
13308,13308,13308,GANGASATLUJ EXP ,FIROZPUR CANT  ,18:25,DHANBAD JN     ,04:55
13329,13329,13329,GANGADAMODAR EX ,DHANBAD JN     ,23:10,PATNA JN       ,05:15
13330,13330,13330,GANGADAMODAR EX ,PATNA JN       ,23:30,DHANBAD JN     ,05:20
13331,13331,13331,DHN PNBE EXPRES ,DHANBAD JN     ,08:25,PATNA JN       ,17:10
13332,13332,13332,PNBE DHN EXPRES ,PATNA JN       ,08:40,DHANBAD JN     ,16:35
13345,13345,13345,SGRL INTERCITY  ,VARANASI JN    ,14:10,SINGRAULI      ,20:55
13346,13346,13346,BSB INTERCITY EX,SINGRAULI      ,05:45,VARANASI JN    ,13:00
13347,13347,13347,PALAMOU EXPRESS ,BARKA KANA     ,17:10,PATNA JN       ,08:10
13348,13348,13348,PALAMOU EXP     ,PATNA JN       ,19:30,BARKA KANA     ,08:00
13351,13351,13351,DHN ALAPPUZHA E ,DHANBAD JN     ,10:50,ALLEPPEY       ,20:20
13352,13352,13352,DHANBAD EXPRESS ,ALLEPPEY       ,06:00,DHANBAD JN     ,13:15
13401,13401,13401,INTERCITY   EXP ,BHAGALPUR      ,05:25,DANAPUR        ,12:50
13402,13402,13402,INTERCITY  EXP  ,DANAPUR        ,16:15,BHAGALPUR      ,22:40
13403,13403,13403,VANANCHAL EXP   ,RANCHI         ,14:45,BHAGALPUR      ,05:15
13404,13404,13404,VANANCHAL EXP   ,BHAGALPUR      ,15:30,RANCHI         ,05:15
13413,13413,13413,FARAKKA EXPRESS ,MALDA TOWN     ,19:10,DELHI          ,04:30
13414,13414,13414,FARKKA EXPRESS  ,DELHI          ,21:50,MALDA TOWN     ,07:20
13415,13415,13415,MLDT PNBE EXPRES,MALDA TOWN     ,20:30,PATNA JN       ,05:30
13416,13416,13416,PNBE MLDT EXPRES,PATNA JN       ,21:45,MALDA TOWN     ,08:20
13417,13417,13417,DGHA MLDT EXP   ,DIGHA FLAG STN ,23:55,MALDA TOWN     ,14:25
13418,13418,13418,MLDT DGHA EXP   ,MALDA TOWN     ,07:50,DIGHA FLAG STN ,22:40
13419,13419,13419,JANASEWA EXPRES ,BHAGALPUR      ,14:05,MUZAFFARPUR JN ,20:50
13420,13420,13420,JANSEWA EXPRESS ,MUZAFFARPUR JN ,23:05,BHAGALPUR      ,05:55
13423,13423,13423,BGP AII EXPRESS ,BHAGALPUR      ,13:05,AJMER JN       ,23:50
13424,13424,13424,AII BGP EXP     ,AJMER JN       ,05:55,BHAGALPUR      ,17:30
13425,13425,13425,MLDT ST EXP     ,MALDA TOWN     ,12:50,SURAT          ,04:50
13426,13426,13426,ST MALDA TOWN EX,SURAT          ,12:50,MALDA TOWN     ,06:00
13465,13465,13465,INTERCITY EXP   ,HOWRAH JN      ,15:15,MALDA TOWN     ,22:20
13466,13466,13466,INTERCITY EXP   ,MALDA TOWN     ,06:10,HOWRAH JN      ,12:50
13483,13483,13483,FARAKKA EXPRESS ,MALDA TOWN     ,19:10,DELHI          ,04:30
13484,13484,13484,FARAKKA EXPRESS ,DELHI          ,21:50,MALDA TOWN     ,07:20
13507,13507,13507,ASN GKP EXPRESS ,ASANSOL JN     ,16:15,GORAKHPUR JN   ,06:05
13508,13508,13508,GKP ASN EXPRESS ,GORAKHPUR JN   ,20:55,ASANSOL JN     ,11:15
13509,13509,13509,ASN GD EXPRESS  ,ASANSOL JN     ,16:15,GONDA JN       ,13:00
13510,13510,13510,GD ASN EXPRESS  ,GONDA JN       ,15:00,ASANSOL JN     ,11:15
13511,13511,13511,TATA ASN EXP    ,TATANAGAR JN   ,13:00,ASANSOL JN     ,16:30
13512,13512,13512,TATANAGAR  EXP  ,ASANSOL JN     ,09:05,TATANAGAR JN   ,12:25
14001,14001,14001,DLI ATTARI EXP  ,DELHI          ,23:05,ATARI          ,07:15
14002,14002,14002,ATTARI DLI EXP  ,ATARI          ,20:15,DELHI          ,03:20
14003,14003,14003,NFK NDLS EXPRES ,MALDA TOWN     ,09:05,NEW DELHI      ,14:40
14004,14004,14004,NDLS MLDT EXP   ,NEW DELHI      ,18:05,MALDA TOWN     ,23:50
14005,14005,14005,LICHCHAVI EXP   ,SITAMARHI      ,23:55,ANAND VIHAR TRM,04:20
14006,14006,14006,LICHCHAVI EXP   ,ANAND VIHAR TRM,15:50,SITAMARHI      ,22:15
14007,14007,14007,SADBHAWNA EXP   ,RAXAUL JN      ,23:45,DELHI          ,04:50
14008,14008,14008,SADHBHAWNA EXP  ,DELHI          ,16:20,RAXAUL JN      ,22:15
14009,14009,14009,PATALKOT EXP    ,CHHINDWARA JN  ,10:15,DELHI S ROHILLA,06:15
14010,14010,14010,PATALKOT EXP    ,DELHI S ROHILLA,12:20,CHHINDWARA JN  ,09:50
14011,14011,14011,DLI HSX EXP     ,DELHI          ,23:05,HOSHIARPUR     ,07:10
14012,14012,14012,HSX DLI EXP     ,HOSHIARPUR     ,22:30,DELHI          ,07:10
14013,14013,14013,SLN DLI EXP     ,SULTANPUR      ,15:30,DELHI          ,04:50
14014,14014,14014,SULTANPUR EXP   ,DELHI          ,16:20,SULTANPUR      ,06:10
14015,14015,14015,SADBHAWANA EXP  ,RAXAUL JN      ,00:35,DELHI          ,04:50
14016,14016,14016,SADHBHAWNA EXP  ,DELHI          ,16:20,RAXAUL JN      ,21:30
14017,14017,14017,SADBHAVNA EXP   ,RAXAUL JN      ,23:45,DELHI          ,04:50
14018,14018,14018,SADBHAVNA EXP   ,DELHI          ,16:20,RAXAUL JN      ,22:15
14033,14033,14033,JAMMU MAIL      ,DELHI          ,20:10,UDHAMPUR       ,11:10
14034,14034,14034,JAMMU MAIL      ,UDHAMPUR       ,14:45,DELHI          ,05:45
14035,14035,14035,DAULADHAR EXP   ,DELHI          ,22:45,PATHANKOT      ,08:20
14036,14036,14036,DHAULADHAR EXP  ,PATHANKOT      ,21:30,DELHI          ,07:45
14037,14037,14037,DLI PTK EXP     ,DELHI          ,08:00,PATHANKOT      ,18:20
14038,14038,14038,PTK DLI EXP     ,PATHANKOT      ,07:00,DELHI          ,17:25
14041,14041,14041,MUSSOORIE EXP   ,DELHI S ROHILLA,21:30,DEHRADUN       ,08:10
14042,14042,14042,MUSSOORIE EXP   ,DEHRADUN       ,21:25,DELHI S ROHILLA,08:30
14043,14043,14043,GARHWAL EXPRESS ,KOTDWARA       ,15:10,DELHI          ,22:15
14044,14044,14044,GARHWAL EXPRESS ,DELHI          ,07:20,KOTDWARA       ,14:20
14055,14055,14055,BRAHMPUTRA MAIL ,DIBRUGARH      ,23:10,DELHI          ,06:05
14056,14056,14056,BRAHMPUTRA MAIL ,DELHI          ,23:40,DIBRUGARH      ,04:00
14095,14095,14095,HIMALYAN QUEEN  ,DELHI S ROHILLA,05:45,KALKA          ,11:10
14096,14096,14096,HIMALAYAN QUEEN ,KALKA          ,16:50,DELHI S ROHILLA,22:40
14114,14114,14114,LINK EXPRESS    ,DEHRADUN       ,13:20,ALLAHABAD JN   ,08:10
14115,14115,14115,ALD HW EXP      ,ALLAHABAD JN   ,23:35,HARIDWAR JN    ,14:15
14116,14116,14116,HW ALD EXP      ,HARIDWAR JN    ,16:25,ALLAHABAD JN   ,07:45
14119,14119,14119,KGM DDN EXPRESS ,KATHGODAM      ,19:45,DEHRADUN       ,04:20
14120,14120,14120,DDN KGM EXPRESS ,DEHRADUN       ,22:55,KATHGODAM      ,07:10
14151,14151,14151,CNB ANVT EXP    ,KANPUR CENTRAL ,07:10,ANAND VIHAR TRM,18:25
14152,14152,14152,ANVT CNB EXP    ,ANAND VIHAR TRM,19:50,KANPUR CENTRAL ,07:30
14153,14153,14153,CNB ASR EXP     ,KANPUR CENTRAL ,17:05,AMRITSAR JN    ,09:30
14154,14154,14154,ASR CNB EXPRESS ,AMRITSAR JN    ,12:35,KANPUR CENTRAL ,05:00
14163,14163,14163,SANGAM EXPRESS  ,ALLAHABAD JN   ,17:45,MEERUT CITY    ,06:40
14164,14164,14164,SANGAM EXP      ,MEERUT CITY    ,19:00,ALLAHABAD JN   ,08:10
14203,14203,14203,BSB LKO INTRCITY,VARANASI JN    ,16:20,LUCKNOW NR     ,22:05
14204,14204,14204,LKO BSB INTRCITY,LUCKNOW NR     ,07:00,VARANASI JN    ,13:30
14205,14205,14205,FD DLI EXP      ,FAIZABAD JN    ,21:45,DELHI          ,09:35
14206,14206,14206,DLI FD EXP      ,DELHI          ,18:35,FAIZABAD JN    ,07:20
14207,14207,14207,PADMAVAT EXPRES ,PARTAPGARH JN  ,17:00,DELHI          ,06:50
14208,14208,14208,PADMAVAT EXPRES ,DELHI          ,19:50,PARTAPGARH JN  ,08:20
14209,14209,14209,BDL LKO INTRCTY ,VINDHYACHAL    ,13:45,LUCKNOW NR     ,19:25
14210,14210,14210,LKO BDL INTRCITY,LUCKNOW NR     ,07:30,VINDHYACHAL    ,13:15
14211,14211,14211,INTERCITY EXP   ,AGRA CANTT     ,06:00,NEW DELHI      ,10:20
14212,14212,14212,INTERCITY EXP   ,NEW DELHI      ,17:40,AGRA CANTT     ,22:05
14213,14213,14213,BSB GD INTERCITY,VARANASI JN    ,14:15,GONDA JN       ,20:05
14214,14214,14214,GD BSB INTERCITY,GONDA JN       ,06:50,VARANASI JN    ,13:40
14215,14215,14215,GANGA GOMTI EXP ,ALLAHABAD JN   ,06:00,LUCKNOW NR     ,10:15
14216,14216,14216,GANGA GOMTI EXP ,LUCKNOW NR     ,18:00,ALLAHABAD JN   ,22:25
14217,14217,14217,UNCHAHAR EXP    ,ALLAHABAD JN   ,14:05,CHANDIGARH     ,09:25
14218,14218,14218,UNCHAHAR EXP    ,CHANDIGARH     ,16:30,ALLAHABAD JN   ,11:20
14219,14219,14219,BSB LKO EXP     ,VARANASI JN    ,05:10,LUCKNOW NR     ,11:25
14220,14220,14220,LKO BSB EXP     ,LUCKNOW NR     ,13:00,VARANASI JN    ,20:25
14227,14227,14227,VARUNA EXPRESS  ,VARANASI JN    ,04:55,LUCKNOW NR     ,09:50
14228,14228,14228,VARUNA EXP      ,LUCKNOW NR     ,17:50,VARANASI JN    ,23:25
14235,14235,14235,BSB BE EXPRESS  ,VARANASI JN    ,23:45,BAREILLY       ,14:05
14236,14236,14236,BE BSB EXPRESS  ,BAREILLY       ,15:35,VARANASI JN    ,06:50
14257,14257,14257,K V EXP         ,VARANASI JN    ,13:45,NEW DELHI      ,06:10
14258,14258,14258,KASHI V EXPRESS ,NEW DELHI      ,11:40,VARANASI JN    ,04:45
14259,14259,14259,RMM VARANASI EXP,RAMESWARAM     ,23:00,VARANASI JN    ,04:40
